Time	Node	Type	Packets	
9.99	Consumer1	CacheHits	0
9.99	Consumer1	CacheMisses	707
9.99	Node1	CacheHits	742
9.99	Node1	CacheMisses	77
9.99	Node2	CacheHits	1
9.99	Node2	CacheMisses	44
9.99	Node3	CacheHits	4
9.99	Node3	CacheMisses	76
9.99	Node4	CacheHits	26
9.99	Node4	CacheMisses	63
9.99	Node5	CacheHits	104
9.99	Node5	CacheMisses	132
9.99	Node6	CacheHits	12
9.99	Node6	CacheMisses	95
9.99	Node7	CacheHits	696
9.99	Node7	CacheMisses	109
9.99	Node8	CacheHits	72
9.99	Node8	CacheMisses	113
9.99	Node9	CacheHits	104
9.99	Node9	CacheMisses	113
9.99	Node10	CacheHits	35
9.99	Node10	CacheMisses	77
9.99	Node11	CacheHits	691
9.99	Node11	CacheMisses	107
9.99	Node12	CacheHits	0
9.99	Node12	CacheMisses	3
9.99	Node13	CacheHits	7
9.99	Node13	CacheMisses	57
9.99	Node14	CacheHits	14
9.99	Node14	CacheMisses	78
9.99	Node15	CacheHits	40
9.99	Node15	CacheMisses	75
9.99	Node16	CacheHits	45
9.99	Node16	CacheMisses	96
9.99	Node17	CacheHits	0
9.99	Node17	CacheMisses	3
9.99	Node18	CacheHits	0
9.99	Node18	CacheMisses	3
9.99	Node19	CacheHits	0
9.99	Node19	CacheMisses	3
9.99	Node20	CacheHits	100
9.99	Node20	CacheMisses	118
9.99	Node21	CacheHits	62
9.99	Node21	CacheMisses	109
9.99	Node22	CacheHits	24
9.99	Node22	CacheMisses	65
9.99	Node23	CacheHits	1
9.99	Node23	CacheMisses	65
9.99	Node24	CacheHits	60
9.99	Node24	CacheMisses	105
9.99	Node25	CacheHits	14
9.99	Node25	CacheMisses	90
9.99	Node26	CacheHits	1
9.99	Node26	CacheMisses	36
9.99	Node27	CacheHits	117
9.99	Node27	CacheMisses	104
9.99	Node28	CacheHits	0
9.99	Node28	CacheMisses	3
9.99	Node29	CacheHits	0
9.99	Node29	CacheMisses	3
9.99	Node30	CacheHits	0
9.99	Node30	CacheMisses	3
9.99	Node31	CacheHits	8
9.99	Node31	CacheMisses	60
9.99	Node32	CacheHits	83
9.99	Node32	CacheMisses	91
9.99	Node33	CacheHits	717
9.99	Node33	CacheMisses	33
9.99	Node34	CacheHits	1
9.99	Node34	CacheMisses	65
9.99	Node35	CacheHits	3
9.99	Node35	CacheMisses	65
9.99	Node36	CacheHits	1
9.99	Node36	CacheMisses	20
9.99	Node37	CacheHits	0
9.99	Node37	CacheMisses	3
9.99	Producer1	CacheHits	0
9.99	Producer1	CacheMisses	73
9.99	F1a	CacheHits	0
9.99	F1a	CacheMisses	68
9.99	F1b	CacheHits	0
9.99	F1b	CacheMisses	97
9.99	F1c	CacheHits	0
9.99	F1c	CacheMisses	121
9.99	F2a	CacheHits	0
9.99	F2a	CacheMisses	116
9.99	F2b	CacheHits	0
9.99	F2b	CacheMisses	126
9.99	F2c	CacheHits	0
9.99	F2c	CacheMisses	65
9.99	F3a	CacheHits	0
9.99	F3a	CacheMisses	97
9.99	F3b	CacheHits	0
9.99	F3b	CacheMisses	60
9.99	F3c	CacheHits	0
9.99	F3c	CacheMisses	137
9.99	F4a	CacheHits	0
9.99	F4a	CacheMisses	58
9.99	F4b	CacheHits	0
9.99	F4b	CacheMisses	54
9.99	F4c	CacheHits	0
9.99	F4c	CacheMisses	92
9.99	F5a	CacheHits	0
9.99	F5a	CacheMisses	65
9.99	F5b	CacheHits	0
9.99	F5b	CacheMisses	90
9.99	F5c	CacheHits	0
9.99	F5c	CacheMisses	20
9.99	Consumer2	CacheHits	0
9.99	Consumer2	CacheMisses	644
9.99	Consumer3	CacheHits	0
9.99	Consumer3	CacheMisses	681
9.99	Consumer4	CacheHits	0
9.99	Consumer4	CacheMisses	701
9.99	Producer2	CacheHits	0
9.99	Producer2	CacheMisses	48
9.99	Producer3	CacheHits	0
9.99	Producer3	CacheMisses	34
9.99	Producer4	CacheHits	0
9.99	Producer4	CacheMisses	40
